Badan Usaha,Pekerjaan,Kategori,Lokasi,Tahun,Hasil FAT,Hasil SAT,Mempunyai TTP,Mutu barang sesuai,Mengacu standar,Ketepatan waktu barang,Jumlah barang tanpa defect,After sales service,Product support,Punya COO dan COM,Kelengkapan requirements,Memenuhi persyaratan administrasi pengiriman barang,"Kerapihan packing, mobilisasi, dan demobilisasi",Kemampuan keuangan dalam pembiayaan proyek,Banyaknya claim,POST AUDIT,Ketaatan peraturan,Kemampuan dan Keaktifan PM,Organisasi proyek,Kemampuan problem solving,Overall Schedule project dan S-Curve,Kemampuan berkoordinasi,Kemampuan kerja sama,Hubungan kerja internal KSO,Penyelesaian Approval Drawing,Kelengkapan metode kerja IK SOP,Tersedia peralatan kerja sesuai,Kemampuan SDM terhadap resiko,Mempunya regu pelaksana kompeten,Mempunyai regu testing dan komisioning kompeten,Ketaatan standar konstruksi,Hasil Site Test dan Komisioning,Pekerjaan sipil/elektromekanik/steel struktur,Keamanan dan Kebersihan,Kelengkapan peralatan dan regu K3,Kemampuan mobilisasi dan demobilisasi,Ketepatan waktu kerja,Ketepatan disburse,Administrasi,Polis asuransi,Kelengkapan dokumen environment,Penyelesaian As Built Drawing final,Penyampaian dokumen,Pelayanan penyelesaian Pending Matters,Product dan sparepart support berkelanjutan
PT CITRA INTERLINDO,Pengadaan Material ASBW 24 KVA / 0086.PJ,Supply Only,UP3 CILACAP,2022,8,0,7,10,7,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT OTHO METRONIK INDONESIA,Pengadaan Modem AMR 4G Lengkap Untuk PBPD / 0002.SPK,Supply Only,UP3 CILACAP,2022,8,0,7,10,7,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT TRITUNGGAL SWARNA,Pengadaan Box APP 1 PHS / 0016.SPK,Supply Only,UP3 CILACAP,2022,10,0,10,10,10,10,10,10,0,9,9,9,9,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT ELECTRA INTI PERKASA,Pengadaan MPB 3 PHS / 0330.SPK,Supply Only,UP3 CILACAP,2022,10,0,10,10,10,10,10,10,0,9,9,9,9,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT SINARINDO WIRANUSA,KHS Segel Plastik tekan / 0004.SPBJ,Supply Only,UP3 CILACAP,2022,10,0,10,10,10,9,10,10,0,9,9,9,9,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT TONGGAK AMPUH,APBJ Tiang Beton Tertanam / 0002/DAN.01.01,Supply Only,UP3 DEMAK,2022,10,0,9,10,8,9,10,8,0,10,9,10,8,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT WIJAYA KARYA BETON,SPBJ Tiang beton Tertanam / 0001/01.01,Supply Only,UP3 DEMAK,2022,10,0,9,10,8,9,10,8,0,9,10,10,9,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT TONGGAK AMPUH,SPBJ Tiang Beton tertanam / 0014/DAN.01.03,Supply Only,UP3 DEMAK,2022,10,0,9,10,8,9,10,8,0,10,9,10,9,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT WIJAYA KARYA BETON,SPBJ Tiang Beton Tertanam / 0013/DAN.01.01,Supply Only,UP3 DEMAK,2022,10,0,9,10,8,9,10,8,0,9,10,10,10,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT TONGGAK AMPUH,SPBJ Tiang Beton Tertanam / 0045/DAN.01.03,Supply Only,UP3 DEMAK,2022,10,0,9,10,8,9,10,9,0,9,10,10,9,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT WIJAYA KARYA BETON,SPBJ Tiang Beton Tertanam / 004/DAN.01.03,Supply Only,UP3 DEMAK,2022,10,0,9,10,9,8,10,8,0,9,9,10,9,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT SENTOSA SAKTI MAKMUR,SPBJ Tiang Beton Tertanam / 0061/DAN.01.03,Supply Only,UP3 DEMAK,2022,10,0,9,10,9,9,10,9,0,9,9,10,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT TONGGAK AMPUH,SPBJ Tiang Beton Tertanam / 0060/DAN.01.03,Supply Only,UP3 DEMAK,2022,10,0,9,10,8,10,10,9,0,8,9,10,9,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT WIJAYA KARYA BETON,SPBJ Tiang Beton Tertanam / 0069/DAN.01.03,Supply Only,UP3 DEMAK,2022,10,0,9,10,9,10,10,8,0,8,9,10,8,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinar jaya Elektrindo,Pengadaan Current Limit Device / 0002.SPK,Supply Only,UP3 DEMAK,2022,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinergi Utama Persada,Pengadaan Semi Conductive Topties / 0003.SPK,Supply Only,UP3 DEMAK,2022,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sapto Argo Perkasa,Pengadaan APD dan Peralatan Pendukung PDKB / 0004.SPBJ,Supply Only,UP3 DEMAK,2022,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,KHS Segel Plastik Tekan / 0003.PJ,Supply Only,UP3 DEMAK,2022,8,0,7,10,10,10,10,10,0,6,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Prima Data Semesta,SPBJ Pengadaan Material Pendukung / 0006.SPBJ,Supply Only,UP3 DEMAK,2022,8,0,7,10,10,10,10,10,0,6,6,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Smart Meter Indonesia,SPBJ Pengadaan Segel Plastik Putar 0012.SPBJ,Supply Only,UP3 DEMAK,2022,8,0,7,10,10,10,10,10,0,6,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Electra Inti Perkasa,SPBJ Pengadaan Boc App TM / 0014.SPBJ,Supply Only,UP3 DEMAK,2022,8,0,7,10,10,10,10,10,0,6,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Lentera Bahana Sejahtera,SPBJ Pengadaan MCCB 3 Pahse / 0017.SPBJ,Supply Only,UP3 KLATEN,2022,8,0,7,10,10,10,10,10,0,6,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Otho Metronik Indonesia,Kontrak Rinci KHS Pengadaan Material kWh / 0040.SPK,Supply Only,UP3 KLATEN,2022,8,0,7,10,10,10,10,10,0,6,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Electra Inti Perkasa,Pengadaan Material Cross Arm / 0092.PJ,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,9,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Electra Inti Perkasa,Pengadaan Material Cross Arm / 0092.PJ,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,9,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Electra Inti Perkasa,Pengadaan MCCB & Box App / 0299.SPK,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,9,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Hasa Putra Mandiri,Pengadaan Modem 4D GPRS / 0291.SPK,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,9,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Movas Agung Sentosa,Pengadaan Material kWh Meter Include Modem / 0298.SPK,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,9,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Otho Metronik Indonesia,Pengadaan Material kWh Meter / 0096.PJ,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,6,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Bambang Djaja,Pengadaan Transformator Dis / 0240.SPK,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,10,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Bambang Djaja,Pengadaan Transformator Dis / 0074.SPK,Supply Only,UP3 KLATEN,2022,10,0,9,10,10,10,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Electra Inti Perkasa,Pembelian MCCB / 0071.SPK,Supply Only,UP3 KLATEN,2022,10,0,8,10,10,10,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Karya Adikita Galvanize,Pengadaan Material Ground Rod / 0069.SPK,Supply Only,UP3 KLATEN,2022,10,0,8,10,10,10,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Logam Jaya Sejahtera Tegal,Pembelian Strain Hook / 0070.SPK,Supply Only,UP3 KLATEN,2022,10,0,8,10,10,10,10,10,0,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinar Jaya Elektrindo,Pengadaan Current Limiting Device / 0001.SPK,Supply Only,UP3 KUDUS,2022,8,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Edmi Indonesia,Pengadaan Modem GSM / 0008.SPK,Supply Only,UP3 KUDUS,2022,8,0,7,10,10,10,10,10,0,7,7,7,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Bambang Djaja,Pengadaan Trafo Dis / 0009.SPK,Supply Only,UP3 KUDUS,2022,8,0,7,10,10,10,10,10,0,10,7,7,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengadaan Fuse Cut Cut / 0010.SPK,Supply Only,UP3 KUDUS,2022,8,0,7,10,10,10,10,10,0,10,7,7,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinar Jaya Elektrindo,Pengadaan CLD & Repair Sleeve /  0028.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,7,7,7,7,7,7,7,8,8,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Logam Jaya Sejahtera Tegal,Pengadaan Material Aksesoris Sambungan Rumah / 0050.PJ,Supply Only,UP3 MAGELANG,2022,7,0,7,7,7,7,7,7,7,7,8,8,7,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Lentera Bahana Sejahtera,Pengadaan Material Pembatas Jaya / 0032.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,7,7,7,7,7,7,7,8,7,7,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengadaan Fuse Cut Out / 0062.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,7,7,7,8,7,7,7,8,8,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Smart  Meter Indonesia,Pengadaan Segel Plastik Putar / 0065.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,8,7,7,8,7,7,7,8,8,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Arhandi Fajar Perkasa,Pengadaan Material Disconnecting Switch / 0003.SPBJ,Supply Only,UP3 MAGELANG,2022,7,0,7,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Arhandi Fajar Perkasa,Pengadaan Fuse Saver / 0149.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Hexing Technology,Pengadaan Moden AMR 4G Lengkap / 0143,Supply Only,UP3 MAGELANG,2022,8,0,8,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Tritunggal Swarna,Pengadaan Smart Box / 0148.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Hexing Technology,Pengadaan Modem AMR 4G + Antena & Power Supply / 0144.SPK,Supply Only,UP3 MAGELANG,2022,8,0,8,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Tritunggal Swarna,Pengadaan Smart Box / 0145.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Lautan Energi Nusantara,Pengadaan Material Penekanan Gangguan Pohon / 0180.SPK,Supply Only,UP3 MAGELANG,2022,7,0,7,7,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Kabelindo Murni,Pengadaan Kabel NYFGBY / 0187.SPK,Supply Only,UP3 MAGELANG,2022,8,0,8,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Kabelindo Murni,Pengadaan Kabel NYFGBY / 0188.SPK,Supply Only,UP3 MAGELANG,2022,8,0,8,8,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Prima Data Semesta,Pengadaan UPS 20 KVA dan 6 KVA / 0186.SPK,Supply Only,UP3 MAGELANG,2022,8,0,8,7,7,7,8,7,7,7,8,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Bambang Djaja,Pengadaan Transformator / 0009.SPK,Supply Only,UP3 PEKALONGAN,2022,8,0,10,10,10,10,10,0,0,10,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Bambang Djaja,Pengadaan Transformator / 0008.SPK,Supply Only,UP3 PEKALONGAN,2022,8,0,10,10,10,10,10,0,0,10,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Kurnia Abadi Padang,Pengadaan Box APP Pengukuran Tidak Langsung / 0011.SPK,Supply Only,UP3 PEKALONGAN,2022,8,0,7,10,10,10,10,0,0,10,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Otho Metronik Indonesia,Pengadaan Modem AMR / 0006.SPK,Supply Only,UP3 PEKALONGAN,2022,8,0,7,10,10,10,10,0,0,10,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinar Jaya Elektrindo,Pengadaan Material Fuse Link / 0003.SPK,Supply Only,UP3 PEKALONGAN,2022,8,0,7,10,10,10,10,0,0,10,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengadaan Fuse Cut Out / 0010.SPK,Supply Only,UP3 PEKALONGAN,2022,8,0,7,10,10,10,10,0,0,10,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Otho Metronik Indonesia,Pengadaan Modem AMR / 0012.SPK,Supply Only,UP3 PEKALONGAN,2022,8,0,7,10,10,4,10,10,0,10,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengadaan Material Aksesoris Keandalan TM / 0663.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Wibowo Karsa,Pengadaan NH Fuse / 0678.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,4,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Gelegar Innova Usaha,Pengadaan MCCB 3 Phasa / 0524.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Tritunggal Swarna,Pengadaan Box APP TM dan Box MCCB / 0503.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Otho Metronik indonesia,Pengadaan Modem 4G / 0352.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,6,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Delta Technology,Pengadaan MCB MCCB 1 Phasa / 0523.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Logam Jaya Sejahtera,Pengadaan Kotak APP OK Type III / 0504.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Jembo Cable Company Tbk,Pengadaan Kabel Wiring APP TR / 0502.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Hana Dwi Karya,Pengadaan MCB Type CL / 0506.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Citra Wahana Sekar Buana,Pengadaan Alat Uji CT Analyzer / 0074.PJ,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,10,10,10,0,7,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Wintech Solusi Energi,Pengadaan Relai OCR/GFR?Thermal / 0499.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Hasa Putra Mandiri,Pengadaan Alat Validasi TM TR / 0410.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Hasa Putra Mandiri,Pengadaan Modem 4G Lengkap / 0411.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Movas Abadi Sentosa,Pengadaan Alat Pendukung Validasi TM TR / 0458.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Movas Abadi Sentosa,Pengadaan Alat Pendukung Pemeliharaan Kubikel / 0460.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,7,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengadaan Material Cross Arm / 0228.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,0,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengadaan Material Cross Arm / 0309.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,0,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Serambi Gayo Sentosa,Pengadaan Material Cross Arm / 0315.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,4,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Serambi Gayo Sentosa,Pengadaan Sepatu Kabel utk Feeder Baru / 0341.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,4,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Electra Inti Perkasa,Compression Connector utk Feeder Baru / 0350.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Serambi Gayo Sentosa,Pengadaan Material Aksesoris Keandalan TM / 0369.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,6,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT And Technical Services,Pengadaan Material DS / 0459.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Serambi Gayo Sentosa,Pengadaan Sepatu Kabel / 0464.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengadaan Cross Arm / 0478.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengandaan Konektor TR / 0554.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Sinarindo Wiranusa Elektrik,Pengandaan Konektor TR / 0555.SPK,Supply Only,UP3 SEMARANG,2022,8,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Logam jaya Sejahtera Tegal,Pengadaan Material Serandang Trafo / 0589.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT Logam Jaya Sejahtera Tegal,Pengadaan Bracket Trafo / 0590.SPK,Supply Only,UP3 SEMARANG,2022,8,0,7,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
